"","Google-Uncertainty FR-Raw","Google-Uncertainty FR-Cleaned","Reuters-Uncertainty FR-Raw","Reuters-Uncertainty FR-Cleaned"
"2011-10-01",44.75,36.6118704919842,0.089662884,0.0906263023390088
"2011-11-01",47.75,43.6085061507615,0.118026832,0.109909423138907
"2011-12-01",31.25,36.24324994795,0.163692722,0.146649262168115
"2012-01-01",36.5,32.961679906361,0.106179909,0.10173962845199
"2012-02-01",44.25,44.4658097885382,0.081587162,0.0846047037347725
"2012-03-01",43.5,38.6091024980566,0.092674071,0.085466903183991
"2012-04-01",53.5,52.0523981806137,0.072913019,0.0775349280908415
"2012-05-01",43.5,40.6113797184217,0.079471239,0.0933836704141
"2012-06-01",32.75,36.4203728015127,0.051665691,0.0624490467277861
"2012-07-01",29,38.9694374721617,0.068947954,0.0727795393689547
"2012-08-01",37.25,48.6185047491647,0.061339731,0.0638586178332628
"2012-09-01",43.75,38.577689300345,0.079184401,0.0763435887434265
"2012-10-01",49.5,41.3618704919842,0.052394783,0.0533582013390088
"2012-11-01",46.25,42.1085061507615,0.109809575,0.101692166138907
"2012-12-01",42.5,47.49324994795,0.152319291,0.135275831168115
"2013-01-01",54,50.461679906361,0.059438443,0.05499816245199
"2013-02-01",50,50.2158097885382,0.057690493,0.0607080347347725
"2013-03-01",38.25,33.3591024980566,0.102409292,0.095202124183991
"2013-04-01",37.5,36.0523981806137,0.06958827,0.0742101790908415
"2013-05-01",45,42.1113797184217,0.032771893,0.0466843244141
"2013-06-01",44.75,48.4203728015127,0.042393484,0.0531768397277861
"2013-07-01",37.25,47.2194374721617,0.035605794,0.0394373793689547
"2013-08-01",36.5,47.8685047491647,0.040736022,0.0432549088332628
"2013-09-01",51.25,46.077689300345,0.083069225,0.0802284127434265
"2013-10-01",48.75,40.6118704919842,0.06186164,0.0628250583390088
"2013-11-01",37.75,33.6085061507615,0.050865422,0.0427480131389065
"2013-12-01",42.75,47.74324994795,0.032635667,0.0155922071681146
"2014-01-01",52.5,48.961679906361,0.079824989,0.07538470845199
"2014-02-01",38,38.2158097885382,0.054205089,0.0572226307347725
"2014-03-01",47,42.1091024980566,0.038144071,0.030936903183991
"2014-04-01",52.25,50.8023981806137,0.042330137,0.0469520460908415
"2014-05-01",45.25,42.3613797184217,0.026249018,0.0401614494141
"2014-06-01",37,40.6703728015127,0.054367981,0.0651513367277861
"2014-07-01",37.25,47.2194374721617,0.025373459,0.0292050443689547
"2014-08-01",35.75,47.1185047491647,0.039124257,0.0416431438332628
"2014-09-01",61.5,56.327689300345,0.044255532,0.0414147197434265
"2014-10-01",55.5,47.3618704919842,0.055685342,0.0566487603390088
"2014-11-01",53.75,49.6085061507615,0.077386733,0.0692693241389065
"2014-12-01",46.75,51.74324994795,0.04684534,0.0298018801681146
"2015-01-01",48,44.461679906361,0.057910151,0.05346987045199
"2015-02-01",46.25,46.4658097885382,0.057904027,0.0609215687347725
"2015-03-01",50,45.1091024980566,0.055963226,0.048756058183991
"2015-04-01",51.25,49.8023981806137,0.019779572,0.0244014810908415
"2015-05-01",44.75,41.8613797184217,0.041410608,0.0553230394141
"2015-06-01",39,42.6703728015127,0.046748376,0.0575317317277861
"2015-07-01",30,39.9694374721617,0.05844671,0.0622782953689547
"2015-08-01",27.75,39.1185047491647,0.059558793,0.0620776798332628
"2015-09-01",61,55.827689300345,0.072719788,0.0698789757434265
"2015-10-01",47.25,39.1118704919842,0.043936643,0.0449000613390088
"2015-11-01",67.5,63.3585061507615,0.051095249,0.0429778401389065
"2015-12-01",53.25,58.24324994795,0.042879716,0.0258362561681146
"2016-01-01",57,53.461679906361,0.04767229,0.04323200945199
"2016-02-01",53.75,53.9658097885382,0.056291325,0.0593088667347725
"2016-03-01",57,52.1091024980566,0.092847505,0.085640337183991
"2016-04-01",47,45.5523981806137,0.046114989,0.0507368980908415
"2016-05-01",55.75,52.8613797184217,0.039248387,0.0531608184141
"2016-06-01",59.75,63.4203728015127,0.034208358,0.0449917137277861
"2016-07-01",43.25,53.2194374721617,0.103586767,0.107418352368955
"2016-08-01",40,51.3685047491647,0.121685446,0.124204332833263
"2016-09-01",57.5,52.327689300345,0.045338304,0.0424974917434265
"2016-10-01",59.75,51.6118704919842,0.074614375,0.0755777933390088
