"","Google-Uncertainty DE-Raw","Google-Uncertainty DE-Cleaned","Reuters-Uncertainty DE-Raw","Reuters-Uncertainty DE-Cleaned"
"2012-04-01",59,58.5572717509306,0.077016021,0.0788621756146122
"2012-05-01",54.75,53.9935846851977,0.074579845,0.0835000153171517
"2012-06-01",50,45.9298945770596,0.174616904,0.174043683977107
"2012-07-01",52.5,57.5716773498447,0.130107762,0.133071164894428
"2012-08-01",35.75,42.6134589433373,0.090343239,0.0937435196116023
"2012-09-01",43.75,49.3279825933487,0.11368249,0.110874586038569
"2012-10-01",47.5,50.2675086713409,0.110485874,0.107676411814564
"2012-11-01",55.75,51.7863192736375,0.176089861,0.165187395123642
"2012-12-01",52,52.8969744760069,0.194073494,0.185136590433537
"2013-01-01",52,45.1363234808847,0.188472889,0.181834669649837
"2013-02-01",54.75,52.3185833294084,0.079839825,0.0951347285293487
"2013-03-01",50.5,47.8504208756214,0.128332746,0.128576007186653
"2013-04-01",41,40.5572717509306,0.124509851,0.126356005614612
"2013-05-01",42,41.2435846851977,0.094380262,0.103300432317152
"2013-06-01",48.25,44.1798945770596,0.058564814,0.0579915939771069
"2013-07-01",42,47.0716773498447,0.059696406,0.0626598088944277
"2013-08-01",53.5,60.3634589433373,0.041540886,0.0449411666116023
"2013-09-01",44.5,50.0779825933487,0.131008982,0.128201078038569
"2013-10-01",35.5,38.2675086713409,0.08477768,0.0819682178145637
"2013-11-01",54.5,50.5363192736375,0.077127854,0.0662253881236416
"2013-12-01",70,70.8969744760069,0.052017698,0.0430807944335371
"2014-01-01",51.25,44.3863234808847,0.097702042,0.0910638226498374
"2014-02-01",61.5,59.0685833294084,0.04395359,0.0592484935293487
"2014-03-01",47.75,45.1004208756214,0.048776687,0.0490199481866527
"2014-04-01",48,47.5572717509306,0.048349581,0.0501957356146122
"2014-05-01",51,50.2435846851977,0.029911011,0.0388311813171517
"2014-06-01",38,33.9298945770596,0.061334664,0.0607614439771069
"2014-07-01",40.5,45.5716773498447,0.020284761,0.0232481638944277
"2014-08-01",49,55.8634589433373,0.046590723,0.0499910036116023
"2014-09-01",46.25,51.8279825933487,0.049043226,0.0462353220385687
"2014-10-01",45.75,48.5175086713409,0.081935547,0.0791260848145637
"2014-11-01",46.5,42.5363192736375,0.084904468,0.0740020021236416
"2014-12-01",51.25,52.1469744760069,0.037758663,0.0288217594335371
"2015-01-01",71.5,64.6363234808847,0.066340485,0.0597022656498374
"2015-02-01",48.25,45.8185833294084,0.073371259,0.0886661625293487
"2015-03-01",56.75,54.1004208756214,0.090137229,0.0903804901866527
"2015-04-01",60.25,59.8072717509306,0.052476741,0.0543228956146122
"2015-05-01",41.5,40.7435846851977,0.05659236,0.0655125303171517
"2015-06-01",62.25,58.1798945770596,0.05571604,0.0551428199771069
"2015-07-01",41.5,46.5716773498447,0.076378204,0.0793416068944277
"2015-08-01",47.5,54.3634589433373,0.075339132,0.0787394126116023
"2015-09-01",44.75,50.3279825933487,0.069077768,0.0662698640385687
"2015-10-01",53.75,56.5175086713409,0.062075843,0.0592663808145637
"2015-11-01",63.75,59.7863192736375,0.061697901,0.0507954351236416
"2015-12-01",48.75,49.6469744760069,0.049639634,0.0407027304335371
"2016-01-01",75.75,68.8863234808847,0.050941846,0.0443036266498374
"2016-02-01",59,56.5685833294084,0.061682222,0.0769771255293487
"2016-03-01",45,42.3504208756214,0.085672007,0.0859152681866527
"2016-04-01",52.25,51.8072717509306,0.052211122,0.0540572766146122
"2016-05-01",58,57.2435846851977,0.052938514,0.0618586843171517
"2016-06-01",57,52.9298945770596,0.05602167,0.0554484499771069
"2016-07-01",59.25,64.3216773498447,0.138271061,0.141234463894428
"2016-08-01",49.75,56.6134589433373,0.139031871,0.142432151611602
"2016-09-01",47.5,53.0779825933487,0.052548105,0.0497402010385687
"2016-10-01",43.75,46.5175086713409,0.080441865,0.0776324028145637
